wof:id,sg:id
169718867,SG_71GmSk0EB09WjVXc4IZ9K3_41.260478_-80.476763@1294180530
169736905,SG_1J9GVE1xjCGwcUsqZwTQ4W_41.264056_-80.474908@1294180530
169737077,SG_6z3rnHsLHRcwrVF0CNE2bw_39.704175_-75.932769@1294128635
169745803,SG_5iPuAVuXEJdtg5KFTdWhOC_41.035591_-80.534120@1294180530
354039463,SG_1wvGpQIV1hNPemSYIKrGcc_39.640751_-75.957938@1294128635
371053627,SG_5ksD0BfSEG9utpLnG4c1Yq_41.989805_-77.310586@1294177022
337590775,SG_2AxI437Vt5D8pRqkDS3Al5_39.700903_-75.975415@1294128635
353529363,SG_7Nnt1iHTWlUFI0UF6UTpgp_39.640747_-75.958469@1294128635
403994125,SG_27sMRhpy1tCFKeqUDZAuhF_40.167000_-76.892601@1303262427
169760591,SG_47YAmnpQhxdR3aV6B0XpxG_39.698152_-75.985355@1294128635
386955543,SG_6IZVBy27fNPplT7dEw0nrg_39.719664_-75.794543@1294128635
403994409,SG_0GAZQBhAJvd1zUKFcqUaDa_40.181783_-76.878316@1303262427
354174545,SG_15MIy2SH8Tc19LmmjH5EVb_39.707079_-76.011463@1294128635
353643193,SG_7L2WzygKTBlMZIsM1qplE9_42.106420_-79.730363@1294177022
370168673,SG_35Ti6BzsUXsv7A12YbWgBR_39.672205_-75.961793@1294128635
403994731,SG_5mHjjAVehZotojkbng5Bzl_40.140592_-76.899984@1303262427
185612289,SG_1dzzfqscdoAG0V7X480dcQ_41.229827_-80.510555@1294180530
185626291,SG_4OYidfm2CIoijpFmcDk903_41.232931_-80.496069@1294180530
169783369,SG_0QqsIE1fy7rivM9xt3ICnC_41.231706_-80.493437@1294180530
169794547,SG_1g7pHOe5xytMHBpEdiMt8E_41.233439_-80.485149@1294180530
185636107,SG_1BolFVr9IGPGdTNxY5Mhrz_41.236465_-80.493788@1294180530
169810291,SG_0FknyEwyVWF5iexzyGYsJL_41.270152_-80.476005@1294180530
370509245,SG_0EXtjsLjZ4qXo9qVCIyZ9D_39.696550_-75.911233@1294128635
403995013,SG_3Cyk5xQFqswoKhtbWg2KnN_40.111431_-76.865021@1303262427
185671671,SG_4F7LQnwfEr6G57aM1tJpkp_39.693220_-75.974655@1294128635
169847165,SG_74RsLXKm2YxKGz8QrJCJuu_41.275150_-80.511090@1294180530
185694081,SG_5rD8q0qX5I7HJ57d64angC_39.643656_-75.969283@1294128635
